Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"11. Allen decided to play a joke on his classmate, Paul. He told several of his friends that he would make Paul an offer of $3,000 for his used car. The vehicle has a fair market value of $1,500. The next time Allen and Paul met, Allen offered Paul $3,000 for his vehicle. Paul immediately said, ""I accept your offer. I will deliver the transfer papers to you tomorrow."" Allen said nothing. When Paul presented Allen with the ""pink slip"" the next day, Allen and his friends burst into laughter. Allen said, ""It was all a big joke, and you fell for it."" Paul was very upset and walked away. Based on these facts, it is most likely that",multiple-choice,"A contract occurred because Paul was reasonably entitled to believe that Allen's offer was seriously made.","A contract occurred under the doctrine of estoppel because Paul was subjected to the ridicule of his friends.","No contract occurred because Allen's offer was not seriously made.","No contract occurred because Allen had previously told his friends that the offer would not be serious.",,,1,"A  The law does not expect people to be mindreaders. For this reason, if a party says that he's making an offer, we assume that he means it. The offeree is entitled to respond to the offeror's actions and manifestations, so long as they appear to be reasonable. An offer to buy a $1,500 car for $3,000 is not so unreasonable that the offeree should not be able to rely on it. The correct answer is choice A. Choice Bis incorrect. The doctrine of promissory estoppel requires some action or forbearance by the offeree to his detriment. Rest. 2d §90(1). The facts do not indicate that Paul took any action in response to Allen's offer except to offer him the transfer documents. Choice Cis incorrect because it begs the real issue. It doesn't matter whether Allen was serious or not. What matters is that he manifested seriousness. Choice Dis incorrect because, again, although his statements to his friends confirmed that he intended a jest, he did not appear to Paul to be acting in jest.",Offer
"12. Seller verbally offered to sell her home to Buyer for $100,000. The offer was later confirmed in a writing prepared and signed by Seller. The written offer stated, ""I hereby offer to sell my home at 202 Neptune Street to you for $100,000, all cash."" In response to the written offer, Buyer said, ""I'll think about it."" Seller responded: ""All right, but please let me know within two days."" The next day, Buyer called Seller and said simply, ""I accept your offer."" Seller now refuses to go ahead with the sale. Based on these facts, it is most likely that",multiple-choice,"The agreement was unenforceable because no writing was signed by Buyer.","No contract was formed because Buyer's promise was unenforceable, and thus Buyer gave no consideration for Seller's promise.","No contract was formed because Seller had a right to revoke her offer since Buyer gave no consideration for the promise to keep the offer open for two days.","A valid contract exists between Seller and Buyer.",,,4,"D  Buyer accepted the offer within the time specified. None of the defenses apply. Choice Cis a correct statement of law, but does not fit the facts. Absent consideration (or an exception), Seller had a right to revoke, despite the promise to keep the offer open. But Seller did not revoke the offer before Buyer accepted; Seller refused to perform only after Buyer accepted. Choice Ais factually correct, but legally insufficient. The agreement providing for the transfer of an interest in land is within the Statute of Frauds. Rest. 2d §125. This law requires a writing signed by the party to be charged — here, the Seller, who is resisting enforcement. Seller's written and signed offer was sufficiently definite to satisfy this requirement. Rest. 2d §131. Because Buyer's acceptance was communicated by phone and not in writing, the contract would not be enforceable against Buyer if Buyer raised the Statute of Frauds as a defense. Choice Bsuggests the unenforceable promise was not consideration for Seller's promise. That is wrong; even an unenforceable promise can satisfy the requirement of consideration. Rest. 2d §78.","Formation of Contracts"
"13. Malachi tells Ashira, ""I offer to sell you my 2009 black Toyota Prius for $28,000."" Ashira is worried that she doesn't have enough money, so she ask Malachi if he'll leave the offer open until 10:00 A.M. the next morning. Malachi says, ""Okay, if you'll give me $10 so I can buy some gas to get home."" Ashira looks in her wallet and says, ""I only have $5; is that okay?"" Malachi says, ""Deal. Anything's better than nothing,"" and takes the money. That evening, following a victorious Redbull chugging contest, Malachi dies. Also, right before the contest, Malachi sold the Prius to his professor for $29,000. The next day, Ashira goes to Malachi's house at 9:00 A.M. and says, ""I accept the offer"". She is then told of the death and the sale. Ashira ultimately sues to enforce the contract. Is it likely the court would find that there was an enforceable contract?",multiple-choice,"No, death terminated the offer.","No, the offer was revoked prior to acceptance.","Yes, regardless of the sale and death, the offer was accepted.","Yes, but only because the offer was accepted prior to Ashira learning of the sale or the death.",,,3,"C  While it is true that death terminates a revocable offer, this is not the case with option contracts. When Ashira gives Malachi $5 to hold the offer open, the parties have entered into a “mini-contract” in which Ashira has paid for the option to purchase the car and neither death nor the sale of the car can terminate the offer. She accepted within the allotted time, so a contract was formed. Choice Ais therefore incorrect as death did not terminate the offer. Because there was a valid option contract, it could not be revoked during the option period. Choice Bis incorrect because Ashira's knowledge of the death or sale is irrelevant. Choice Dis incorrect because knowledge of the death or sale makes no difference provided acceptance occurs within the valid option period.","Formation of Contracts"
"14. New Frisco High School boy's cricket team has a tradition of hazing its freshman players by having them take LSD, an illegal hallucinogenic drug and then playing a match. This year the captains of the team made sure each freshman signed a statement before the game began that said, ""I, (name), promise to participate fully in the cricket match, including the LSD ingestion, and I agree that binding arbitration will be the sole forum for the adjudication of any claim made against the school in connection with the match."" One of the freshman participants, Chad Thompson, was seriously injured during the match. He brings a claim against the school in a civil court. The school moves to dismiss, arguing that binding arbitration is the appropriate forum based on the contract. The arbitration clause in the contract will likely",multiple-choice,"Be upheld because Thompson freely consented to it.","Be upheld because it is voidable only by Thompson and he has chosen to void it.","Be void because the agreement is void as against public policy even though the arbitration clause is not.","B and C",,,3,"C  Having students agree to take hallucinogenic drugs is void as against public policy without regard to whether the arbitration provision is against public policy. Choice Ais incorrect because consent is irrelevant. Choice Bis incorrect because contracts against public policy are void, not voidable by the injured party. Choice Dis incorrect because Bis incorrect.",Remedies
"15. Buyer and Seller (both merchants)  agree over the phone that Seller will sell the Buyer 500 metal tubes at $5 each. Buyer informs the Seller that the tubes will be incorporated into one of his products. The parties do not discuss Buyer's remedies in the event of Seller's default. The next day, Seller sends a ""Confirmation"" to Buyer. The confirmation recites the quantity and price but states that in the event of a breach by Seller, the Buyer's only remedy is to return the defective goods and recover the purchase price. Seller ships the tubes to Buyer, which accepts delivery and incorporates the tubes into one of its products. Subsequently, Buyer finds that the tubes are defective and the products are unsaleable. Buyer sues and seeks to recover damages. Which of the following is correct?",multiple-choice,"Buyer can recover its damages because the remedies limitation in the ""Confirmation"" was a material alteration of the oral agreement.","Buyer can recover its damages because the default terms of the UCC apply unless the parties writings agree on a different term.","Seller will prevail because the limitation on remedies in his Confirmation was a condition that Buyer accepted by accepting delivery.","Seller will prevail because Buyer did not object to limitation on remedies within reasonable time.",,,1,"A  A written confirmation of an oral agreement operates as an acceptance even if it states terms different from the terms of the agreement. UCC §2-207(1) (UCC §2-206(3) in the 2003 revisions to article 2). However, in transactions between merchants, the additional terms might become part of the contract unless they contain material alterations of the original terms. UCC §2-207(2)(b) (deleted under 2003 revisions). Here, the language limiting the remedies of the Buyer on Seller's default was a sufficiently material alteration to be excluded from the bargain. *Choice Bis not correct under existing law but will become correct if the 2003 revisions become law. If the parties had not made an agreement at all, UCC §2-207(3) might produce the result in choice B. But if the term had not been material, Buyer's silence might have been deemed an acceptance, producing an agreement that would obviate recourse to UCC §2-207(3). Thus, choice Bis true only if choice Already prevented the term from becoming part of the contract. Choice A, then, is a better answer. Choice Cis not correct. The limitation was not an express condition to acceptance of delivery, but a material change imposed by the Seller's form of Confirmation. Choice Dis incorrect because an objection is unnecessary when the additional term materially alters the agreement.","Contract Terms"
"16. Paul, a job printer, called Seller and asked for the price of ""two tons of 50lb. white paper."" Seller told Paul he would calculate the price and then responded, via signed letter dated April 1, ""Our price for the next three weeks will be 52 cents per pound."" One week later, Seller sent another letter to Paul. It stated that because of a devastating forest fire, the price of the paper would be raised to 80 cents per pound. One week after Seller's second letter, Paul sent a signed letter to Seller stating, ""I accept your offer of paper at 52 cents in your April 1 letter. Please ship two tons ASAP."" If Paul attempts to enforce the original offer against Seller, it is more likely that",multiple-choice,"Paul will prevail because Seller's April 1 letter was a firm, non revocable offer.","Seller will prevail if his performance has become commercially impracticable.","Seller will prevail unless Paul has committed printing jobs in reliance on Seller's April 1 offer.","Seller will prevail because the April 1 letter was not an offer but a price quotation.",,,4,"D  In commercial transactions, a buyer often asks a supplier for a price in advance of placing an order. He may wish merely to compare the price of one supplier against the price of a competitor. A price quotation is, therefore, not always an offer. The facts, in this case, would indicate that Seller was merely stating a price in anticipation of Paul's order. Since Paul did not respond until Seller changed the price after the forest fire, there was no agreement between the parties. Choice A is incorrect because the April 1 letter was not a firm offer but a price quotation. Choice Bis not the best answer because the facts are not dispositive on the issue of practicability. We are not told what the impact of the fire on Seller will be. If he is able to sell his inventory at the increased price, there may be no impact at all. Choice C is not the right answer because Paul was not entitled to rely on the April 1 quotation, especially since his order was placed only after he had received notice of the price increase.","Formation of Contracts"
"17. Neff and Owens owned adjoining residences in Smithville. In May, they hired a contractor to lay a continuous sidewalk running in front of both their homes. Each man was to pay the contractor for that part of the work measured by the width of his property. After he had paid the bill that the contractor submitted to him, Neff reasonably (but erroneously) became convinced that the contractor had mistakenly charged him for labor and materials that were used for that part of the sidewalk in front of Owen's home. Neff asked Owens to reimburse him for the amount that he thought he had erroneously paid the contractor. After a lengthy discussion, and although he believed that he owed Neff nothing, Owens finally said: I want to avoid trouble, so if you agree to forgo the money, Ill hire a caretaker to keep our sidewalks free of ice and snow this winter. Neff orally agreed.

Owens decided to go to Florida for the winter. He left without hiring anyone to remove snow and ice in front of either property. When the first snow fell and the sidewalk was not cleared, Neff cleaned his own sidewalk and then kept it clean the rest of the winter. Was Owen's promise to hire a caretaker supported by consideration?",multiple-choice,Yes.,"No, because Owens did not believe that Neff had a valid claim.","No, because Neffs claim was groundless.","No, because the agreement between Neff and Owens was not in writing.",,,1,"A  When a party agrees to forbear from asserting a claim which he honestly (albeit mistakenly) believes to be valid in exchange for the promise of another, the latter's promise is ordinarily enforceable; Rest. 2d §74. Even though Owens may have owed Neff nothing, his promise to Neff would still be enforceable by Neff, because Neff believed that Owens did owe him reimbursement for Neff's overpayment to the contractor. Choice Bis incorrect because the fact that Owens did not believe Neff had a valid claim is not pertinent under the facts and the applicable rule of law (i.e., Owens' promise is enforceable because Neff believed that he had a claim against Owens). Choice Cis incorrect because it doesn't matter that Neff's claim was in fact groundless: So long as he reasonably believed he had a valid claim, Owens' promise is enforceable. Finally, choice Dis incorrect because the agreement did not have to be in writing. It provided for performance by Owens over a single winter. If it had provided for his hiring a caretaker over a period longer than one year, it would have fallen within the Statute of Frauds and required a writing.","Formation of Contracts"
"18. Shirin is an owner of an antiquities store specializing in medieval torture devices. Ning, a renowned collector of medieval torture devices, owned a very rare thumbscrew priced at $5,000. Shirin inquired about purchasing the thumbscrew at a cocktail party while the two
were attending a torture device conference. Ning, a couple martinis deep, said, Oh, that thumbscrew, I will sell it to you for $4,500. Shirin agreed. The next day, Shirin sent a signed letter to Ning to confirm the contract, which Ning received. One week later Shirin showed up with $4,500 and demanded the thumbscrew. Ning denied ever entering into such an agreement, pointed out that she did not sign anything, and refused to sell the thumbscrew. Shirin sues Ning for breach of contract, and Ning defends on the basis of the Statute of Frauds. What is the likely result?",multiple-choice,"The contract is enforceable because Shirin sent, and Ning received, the letter confirming the agreement and Ning did not object to it in a timely manner.","The contract is enforceable only if Ning admits under oath in the pleadings that the agreement existed.","The Statute of Frauds does not apply to this transaction.","The contract is unenforceable because Ning had been drinking.",,,1,"A  This is a transaction for the sale of goods of $500 or more and thus the Statute of Frauds embodied in UCC §2-201 applies. This appears to be an all-merchant transaction as both parties deal in or by occupation have knowledge of medieval torture devices. The UCC §2-201(2) memorandum requirement is met as written confirmation was received by Ning within a reasonable time, Ning knew of its contents, and Ning did not object in writing within 10 days of receipt. Choice B is incorrect because although admission under oath would satisfy the Statute of Frauds requirement, the confirming merchant memorandum does as well. Choice C is incorrect because, as explained above, the Statute of Frauds applies to this transaction. Choice D is incorrect because there is not enough evidence presented to conclude that Ning was so intoxicated as to lack capacity.",Breach
"19. Axel wrote to Grant: Please ship 175 Model X Hearing Aids at catalog price. Grant shipped 175 Model Y Hearing Aids, which are superficially similar to Model X but have different working parts. Model Y is an obsolete model with no market demand. On tender of delivery, Axel discovered the discrepancy and demanded that Grant deliver Model X Hearing Aids. Grant refused. If Axel sues for breach of contract, what result would be most likely?",multiple-choice,"Grant wins because there was no meeting of the minds.","Grant wins because his shipment was a counteroffer that Axel rejected.
","Axel wins because the offeror is master of his offer.
","Axel wins because Grants shipment of Model Y Hearing Aids constituted an acceptance of Axel's offer to buy.
",,,4,"D  Under the UCC, if nonconforming goods are sent in response to an offer for prompt shipment, and the offeree fails to advise the offeror that the shipment is merely an accommodation, the offeree is deemed to have concurrently accepted the buyer's offer and be in breach of the contract. UCC §2-206(1)(b). Grant's shipment of the Model Y Hearing Aids constituted an acceptance of Axel's offer (even though the goods were nonconforming) and also a breach of contract because Axel tendered nonconforming goods. Choice C is a true statement of a sound legal principle, but it is not the best answer because Grant did ship in response to Axel's order. Choice B is incorrect because a shipment of nonconforming goods in response to an order constitutes an acceptance if the shipper does not notify the buyer that the shipment is offered only as an accommodation. Finally, choice A is incorrect because the facts do not state that Grant misunderstood Axel's order.",Breach
"20. Seller and Buyer agree by phone that Seller will sell Buyer 450 widgets at $1.00 each. The widgets will be delivered by Seller to Buyer within
one month. One week later, Seller learns that a strike at the processing plant will result in a price increase to him. Seller phones Buyer and demands $1.25 per widget to perform the contract. Buyer agrees to pay the increase. The Seller delivers, and Buyer accepts delivery. Seller invoices the Buyer at the new price, but Buyer sends a check for $450. With his check, he sends a note reading, We had a deal, and you had no right to change it. I agreed only because I had to have the widgets and you left me no choice. Seller sues Buyer for the difference. Based on these facts, it is most likely that",multiple-choice,"Seller will prevail because performance of the contract at the original price became commercially impracticable.","Seller will prevail because he had a good faith reason for the price increase.","Buyer will prevail because he received no consideration for the increased price.","Buyer will prevail because the contract as modified fell within the Statute of Frauds, but no writing signed by Buyer records the modification.",,,2,"B  Ordinarily, a substantial modification following the execution of a contract requires new consideration to be binding. In connection with the sale of goods, however, an agreement to modify a contract needs no consideration, as long at the modification was made in good faith. UCC §2-209. Seller was acting in good faith; he increased his price only after he learned of the strike at the processing plant and the resulting increase in price to him. Buyer accepted Seller's modification in price. He cannot now insist on the original price. Choice A is incorrect because the facts do not state that performance by Seller had become commercially impracticable. Choice C is incorrect in connection with a sale of goods; consideration is not required for a modification in price if the buyer accepts delivery. Finally, choice D is incorrect, even though the Statute of Frauds does apply. Buyer's note mentions his agreement to the modification and might be deemed signed since it is attached to the signed check. Alternatively, the goods were received and accepted, an exception to the UCC's Statute of Frauds. UCC §2-201(3)(c).",Breach
