Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"11. Frederick threatened Bruce with a physical beating unless Bruce personally wrote, signed and mailed a letter to the President of the United States threatening the President's life. Bruce compiled. A statute makes it a felony ""knowingly to mail to any person a letter that threatens the life of the President of the United States.""

If Frederick and Bruce are charged with the crime of conspiring to violate the statute, they will most likely be found:",multiple-choice,"not guilty, because the conspiracy was merged in the completed crimes","not guilty, because Bruce was not a willing participant","guilty, because Bruce participated in the commission of the crime","guilty, because Bruce complied with Frederick's threat",,,2,,Crime
"12. Axel wrote Grant saying: ""Please ship 175 Model X Hearing Aids per catalog price ... "" Grant shipped 175 Model Y Hearing Aids, which are superficially similar to Model X and can be distinguished only by taking them apart. Model Y is an obsolute model with no market demand. On tender of delivery, Axel discovered the discrepancy and demanded that Grant deliver Model X Hearing Aids. Grant refused.

If Axel sues for breach of contract, what result?",multiple-choice,"Grant wins, because there was no meeting of the minds.","Grant wins, because his shipment was only a counteroffer which Axel rejected.","Axel wins, because the offeror is master of his offer.","Axel wins, because Grant's shipment of Model Y Hearing Aids constituted an acceptance of Axel's offer to buy Model X hearing aids.",,,4,,Contracts
"13. Owner owned a house in City. A storm sewer, owned and operated by City, ran under part of Owner's house. Water from the sewer main escaped into the basement of Owner's house, flooding the basement and causing substantial damage. The jurisdiction in which City is located has abolished governmental tort immunity.

If Owner asserts a claim against City, the basis on which Owner is most likely to prevail is",multiple-choice,"negligence, if the sewer main was improperly constructed or maintained.","strict liability, because the water escaped from City's sewer main.","strict liability in tort, if the sewer main was defective.","nuisance, because Owner's use and enjoyment of his house was interfered with.",,,1,,Torts
"14. Daniel owned a restored ""classic"" automobile made in 1922. To discourage tampering with the car, Daniel installed an electrical device designed to give a mild shock, enough to warn but not to harm persons touching the car. Paul, a heart patient with a pacemaker, saw Daniel's car and attempted to open the door. Paul received a mild shock which would not have harmed an ordinary individual but which caused his pacemaker to malfunction, resulting in a fatal heart attack.

If Paul's estate asserts a claim against Daniel for the wrongful death of Paul, will the estate prevail?",multiple-choice,"No, if Daniel was not using excessive force to protect his car.","No, because Paul was a trespasser.","Yes, because Daniel's act was a substantial factor in causing Paul's death.","Yes, if Paul had no reason to suspect the presence of the electrical device.",,,1,,Torts
"15. Bill borrowed a television set from Len to watch a football game on Sunday afternoon. Bill promised Len that he would return the set to Len by 7:00 Sunday night because Len wanted to watch a program at 10:00 that night. When Bill had not returned the set by 9:00, Len went to Bill's house. Bill was not at home, and Len forced open a window, climbed in, took his television set and walked out with it.

Did Len commit burglary?",multiple-choice,"Yes, because Len broke and entered Bill's dwelling at night.","Yes, because Bill had lawfully obtained possession of the television set from Len.","No, because Bill was not at home when Len went to his house.","No, because Len entered for the purpose of recovering his own television set.",,,4,"recovery of chattel",Crime
"16. Bank had a substantial increase in the number of robberies at its main office. Bank hired Sharp, an expert rifleman, and placed him at a position where he could observe the entire floor of the bank through an opening in the ceiling of the bank. Sharp was instructed to shoot if he believed that it was necessary to prevent a robbery.

Several days after Sharp had been hired, Rob entered the bank, pointed a gun at a cashier and demanded money. When Sharp saw Rob point a gun at a cashier Sharp fired and killed Rob.

What criminal offense, if any, did Sharp commit?",multiple-choice,"None, if Sharp reasonably believed his act was necessary to prevent a dangerous felony.","Voluntary manslaughter, because Sharp used deadly force to protect private property.","Voluntary manslaughter, because Sharp did not first warn Rob.","Murder, if Sharp deliberately aimed to kill Rob.",,,1,,Crime
"17. Mike was employed as a salesman in Leo's store. Leo owned a beautiful clock which Mike had often admired. The clock needed repairs and Leo asked Mike to take it with him on his way home and leave it at a repair shop. When asked to do this, Mike decided to keep the clock for himself. Mike took the clock, did not deliver it to the shop, and did not return to work for Leo.

Did Mike commit larceny?",multiple-choice,"Yes, because after he received the clock, Mike did not take it to the repair shop.","Yes, because when he received the clock from Leo, Mike had secret intention to keep it.","No, because Mike was Leo's servant when Leo gave Mike the clock.","No, because Leo transferred possession to Mike without any act or inducement on Mike's part.",,,2,,Crime
"18. Questions 18-22 are based on the following fact situation.

On December 20, 1979, Carl owner of Carl's Coffee Shop, entered into a written contract with Dan, owner of Dan's Doughnut Factory, under which Carl agreed to purchase his doughnut requirements for the calendar year 1980. The contract provided that ""Carl shall have no obligation to receive any specified quantity of doughnuts, but only his daily requirements"" and that Dan ""agrees to supply such requirements"" at the fixed price per dozen specified in the contract, ""cash on delivery."" During 1979, Carl's requirements of doughnuts for his coffee shop averaged approximately 50 dozen per week.

Early in 1980, Dan experienced a rise in his costs and decided he could no longer afford to supply Carl's requirements at the price fixed in their agreement.

If Dan asserts that the agreement is not binding upon him because of lack of consideration will Dan prevail?",multiple-choice,"Yes, because requirements contracts lack mutuality of obligation.","Yes, because the provision that Carl had no obligation to receive any specified quantity made the contract illusory.","No, because requirements contracts do not need consideration to be enforceable.","No, because Carl's agreement to buy his requirements was sufficient consideration for Dan's agreement to supply those requirements.",,,4,,Contracts
"19. Questions 18-22 are based on the following fact situation.

On December 20, 1979, Carl owner of Carl's Coffee Shop, entered into a written contract with Dan, owner of Dan's Doughnut Factory, under which Carl agreed to purchase his doughnut requirements for the calendar year 1980. The contract provided that ""Carl shall have no obligation to receive any specified quantity of doughnuts, but only his daily requirements"" and that Dan ""agrees to supply such requirements"" at the fixed price per dozen specified in the contract, ""cash on delivery."" During 1979, Carl's requirements of doughnuts for his coffee shop averaged approximately 50 dozen per week.

Assume that on May 1, 1980, Carl opened ""Car's coffee Shop #2"" in a new office building. During the first four months of 1980, Carl had to ordered an average of 50 dozen doughnuts per week from Dan. The first week in May he ordered 75 dozen doughnuts, explaining that he needed the larger quantity because of the opening of Carl's Coffee Shop #2. Dan refused to supply any more than 50 dozen at the price fixed in the agreement.

Is Dan justified in his refusal?",multiple-choice,"Yes, if the normal requirements of the original coffee shop are approximately 50 dozen per week.","Yes, because the opening of Carl's Coffee shop #2 was unanticipated occurrence which excused Dan from his contract with Carl.","No, because the agreement provided that Dan would supply Carl's requirements of doughnuts at the fixed price.","No, if in opening Carl's Coffee Shop #2, Carl relied on his requirements contract with Dan.",,,1,,Contracts
"20. Questions 18-22 are based on the following fact situation.

On December 20, 1979, Carl owner of Carl's Coffee Shop, entered into a written contract with Dan, owner of Dan's Doughnut Factory, under which Carl agreed to purchase his doughnut requirements for the calendar year 1980. The contract provided that ""Carl shall have no obligation to receive any specified quantity of doughnuts, but only his daily requirements"" and that Dan ""agrees to supply such requirements"" at the fixed price per dozen specified in the contract, ""cash on delivery."" During 1979, Carl's requirements of doughnuts for his coffee shop averaged approximately 50 dozen per week.

Assume that in May Carl decided the price fixed in his contract with Dan was too high since Carl was making a profit of only five cents per doughnut. Carl asked Dan to agree to charge a lower price, but Dan refused. Carl thereupon stopped selling doughnuts in his coffee shop and switched to other pastries. If Dan sues Carl for breach of contract, who will prevail?",multiple-choice,"Dan, because the elimination by Carl of his requirements of doughnuts did not occur in good faith.","Dan, because under the agreement Carl had an absolute obligation to have requirements of approximately 50 dozen doughnuts per week.","Carl, because the inadequate profit on doughnut sales was a permissible reason for Car's eliminating his requirements of doughnuts.","Carl, because a buyer under a requirements contract may properly eliminate his requirements for any reason.",,,1,,Contracts
"21. Questions 18-22 are based on the following fact situation.

On December 20, 1979, Carl owner of Carl's Coffee Shop, entered into a written contract with Dan, owner of Dan's Doughnut Factory, under which Carl agreed to purchase his doughnut requirements for the calendar year 1980. The contract provided that ""Carl shall have no obligation to receive any specified quantity of doughnuts, but only his daily requirements"" and that Dan ""agrees to supply such requirements"" at the fixed price per dozen specified in the contract, ""cash on delivery."" During 1979, Carl's requirements of doughnuts for his coffee shop averaged approximately 50 dozen per week.

Assume that in May Carl sold Carl's Coffee Shop to Ed, assigning his rights and delegating his duties under the contract with Dan to Ed. Ed decided to continue using the name ""Car's Coffee Shop."" When Dan was notified of the sale, he refused to supply doughnuts to Ed for Carl's Coffee Shop.

What are Ed's rights, if any, agains Dan for the balance of the year 1980?
",multiple-choice,"Ed has no rights against Dan.","Ed is entitled to have Dan supply Ed's requirements of doughnuts for Carl's Coffee Shop, but not in a quantity unreasonably disproportionate to Carl's normal requirements before he sold to Ed.","Ed is entitled to have Dan supply whatever quantity of doughnuts Ed might order for Car's Coffee Shop, but Ed is free to buy doughnuts elsewhere.","Ed is entitled to have Dan supply whatever requirements of doughnuts Ed might have for Carl's Coffee Shop.",,,2,,Contracts
"22. Questions 18-22 are based on the following fact situation.

On December 20, 1979, Carl owner of Carl's Coffee Shop, entered into a written contract with Dan, owner of Dan's Doughnut Factory, under which Carl agreed to purchase his doughnut requirements for the calendar year 1980. The contract provided that ""Carl shall have no obligation to receive any specified quantity of doughnuts, but only his daily requirements"" and that Dan ""agrees to supply such requirements"" at the fixed price per dozen specified in the contract, ""cash on delivery."" During 1979, Carl's requirements of doughnuts for his coffee shop averaged approximately 50 dozen per week.

Assume following facts:
""Assume that in May Carl sold Carl's Coffee Shop to Ed, assigning his rights and delegating his duties under the contract with Dan to Ed. Ed decided to continue using the name ""Car's Coffee Shop."" When Dan was notified of the sale, he refused to supply doughnuts to Ed for Carl's Coffee Shop.""

Except that upon being notified on the sale of Ed, Dan agreed with Ed and Carl that Ed should be substituted for Carl in the agreement between Dan and Carl. In June Ed started buying his requirements of doughnuts for Carl's Coffee Shop from a supplier other than Dan.

Does Dan have any rights against Carl?",multiple-choice,"Yes, because a party who delegates his duties under a contract to a third party remains liable for breach of those duties.","Yes, because Dan was a third party beneficiary of the agreement between Carl and Ed.","No, because Carl's delegation of his duties to Ed discharged Carl form any further duty to Dan.","No, because the arrangement between Carl, Ed and Dan was a novation.",,,4,,Contracts
"23. For Son's seventh birthday, Father bought Son a small bicycle at Hardware. The bicycle was manurfactored by Eikeco.

A week later, Son‘s sister, Sis, age 17, returned home from college for Thanksgiving vacation. Son asked Sis to get out his new bicycle so he could show her how well he could ride it. Sis went to the garage, sat on the bicycle seat and began to “walk” the bicycle between the two family cars and out of the garage.

As Sis neared the doorway of the garage, the rod on which the seat was mounted snapped, causing Sis to fall backward over the bicycle and to suffer severe injuries. Friend, standing a few feet from Sis, was horrified and sickened as he saw what happened to Sis, but suffered no other harm.

Most bicycle manufacturers make the supporting rods for seats from a metal which is much stronger for that purpose than the metal used by Bikeco. The use of the stronger metal increases the cost of manufacture by about $1.50 a bicycle.

If Sis asserts a claim against Eikeco based on strict liability in tort the likely result is Sis will",multiple-choice,"recover, if use such as hers was foreseeable.","recover, because Bikeco can spread the risk of loss.","not recover, if the bicycle was intended for use by small children.","not recover, because the bicycle was purchased for Son.",,,1,,Torts
"24. For Son's seventh birthday, Father bought Son a small bicycle at Hardware. The bicycle was manurfactored by Eikeco.

A week later, Son‘s sister, Sis, age 17, returned home from college for Thanksgiving vacation. Son asked Sis to get out his new bicycle so he could show her how well he could ride it. Sis went to the garage, sat on the bicycle seat and began to “walk” the bicycle between the two family cars and out of the garage.

As Sis neared the doorway of the garage, the rod on which the seat was mounted snapped, causing Sis to fall backward over the bicycle and to suffer severe injuries. Friend, standing a few feet from Sis, was horrified and sickened as he saw what happened to Sis, but suffered no other harm.

Most bicycle manufacturers make the supporting rods for seats from a metal which is much stronger for that purpose than the metal used by Bikeco. The use of the stronger metal increases the cost of manufacture by about $1.50 a bicycle.

If Sis asserts a claim against Hardware based on negligence, is it likely that Sis will prevail?",multiple-choice,"Yes, if the bicycle was defective.","Yes, if the bicycle was defective and Hardware could have discovered the defect by a reasonable inspection.","No, because Sis was not an intended user of the bicycle.","No, because Sis was not riding the bicycle in a normal manner.",,,2,,Torts
"25. For Son's seventh birthday, Father bought Son a small bicycle at Hardware. The bicycle was manurfactored by Eikeco.

A week later, Son‘s sister, Sis, age 17, returned home from college for Thanksgiving vacation. Son asked Sis to get out his new bicycle so he could show her how well he could ride it. Sis went to the garage, sat on the bicycle seat and began to “walk” the bicycle between the two family cars and out of the garage.

As Sis neared the doorway of the garage, the rod on which the seat was mounted snapped, causing Sis to fall backward over the bicycle and to suffer severe injuries. Friend, standing a few feet from Sis, was horrified and sickened as he saw what happened to Sis, but suffered no other harm.

Most bicycle manufacturers make the supporting rods for seats from a metal which is much stronger for that purpose than the metal used by Bikeco. The use of the stronger metal increases the cost of manufacture by about $1.50 a bicycle.

If Sis asserts a claim against Hardware based on strict liability in tort, is it likely that Sis will prevail?",multiple-choice,"Yes, if the bicycle was defective","Yes, but only if Hardware could have discovered a defect by a reasonable inspection.","No, because Hardware sold the bicycle in exactly the same condition as that in which it was received.","No, because Sis was not in privity with Hardware.",,,1,,Torts
"26. For Son's seventh birthday, Father bought Son a small bicycle at Hardware. The bicycle was manurfactored by Eikeco.

A week later, Son‘s sister, Sis, age 17, returned home from college for Thanksgiving vacation. Son asked Sis to get out his new bicycle so he could show her how well he could ride it. Sis went to the garage, sat on the bicycle seat and began to “walk” the bicycle between the two family cars and out of the garage.

As Sis neared the doorway of the garage, the rod on which the seat was mounted snapped, causing Sis to fall backward over the bicycle and to suffer severe injuries. Friend, standing a few feet from Sis, was horrified and sickened as he saw what happened to Sis, but suffered no other harm.

Most bicycle manufacturers make the supporting rods for seats from a metal which is much stronger for that purpose than the metal used by Bikeco. The use of the stronger metal increases the cost of manufacture by about $1.50 a bicycle.

If Friend asserts a claim against Bikeco based on strict liability in tort, is it likely that Friend will prevail?",multiple-choice,"Yes, if the bicycle was inherently dangerous.","Yes, because Friend was within a few feet of Sis when she was injured.","No, because Friend was not using the product when the accident occurred.","No, because Friend was horrified and sickened, but suffered no other harm.",,,4,,Torts
"27. Questions 27-29 are based on the following fact situation.

Al arranged with Bob to have Bob kill Vic by shooting him. Bob, in turn, paid Tom to do the killing. Tom went to Vic’s home late one evening. Vic had gone to bed and had left his bedroom window open. Tom found along stick and set ﬁre to the end of it. He inserted the stick through the open bedroom window and started a smoldering fire in the covering on Vic‘s bed. Vic died of smoke inhalation, but the fire was discovered and extinguished by Vic’s son: The only damage to the home was smoke discoloration to the walls next to the bed.

Did Al commit the murder of Vic?",multiple-choice,"Yes, because Al and Tom were co-conspirators.","Yes, because he arranged for the killing of Vic.","No, because his arrangement was with Bob and not Tom.","No, because Vic was killed in a different manner than Al had contemplated.",,,2,,Crime
"28. Questions 27-29 are based on the following fact situation.

Al arranged with Bob to have Bob kill Vic by shooting him. Bob, in turn, paid Tom to do the killing. Tom went to Vic’s home late one evening. Vic had gone to bed and had left his bedroom window open. Tom found along stick and set ﬁre to the end of it. He inserted the stick through the open bedroom window and started a smoldering fire in the covering on Vic‘s bed. Vic died of smoke inhalation, but the fire was discovered and extinguished by Vic’s son: The only damage to the home was smoke discoloration to the walls next to the bed.

Is Tom guilty of common law burglary of Vic's house?",multiple-choice,"Yes, because he committed a felony within the home of another during the nighttime.","Yes, because he inserted the lighted stick through the open window.","No, because he did not commit a breaking.","No, because no part of his body entered the house.",,,3,,Crime
"29. Questions 27-29 are based on the following fact situation.

Al arranged with Bob to have Bob kill Vic by shooting him. Bob, in turn, paid Tom to do the killing. Tom went to Vic’s home late one evening. Vic had gone to bed and had left his bedroom window open. Tom found along stick and set ﬁre to the end of it. He inserted the stick through the open bedroom window and started a smoldering fire in the covering on Vic‘s bed. Vic died of smoke inhalation, but the fire was discovered and extinguished by Vic’s son: The only damage to the home was smoke discoloration to the walls next to the bed.

Is Tom guilty of arson of Vic’s house?",multiple-choice,"Yes, because there was smoke damage to the walls.","Yes, because a burning occurred in the commission of an inherently dangerous felony.","No, because arson is a specific intent crime.
","No, because there was no burning of any part of the house.",,,4,,Crime
"30. Ed told Pete, an auto mechanic, that he had stolen a car and that the engine had to be rebuilt before it could be sold. Pete agreed to perform the work under the following terms: Pete would receive $300 upon completion of the job, even though his normal fee was $600 and he would receive an additional $600 when Ed sold the car. After rebuilding the engine, and before the car was sold, Pete and Ed were arrested.

Did Pete commit the crime of conspiracy to sell the stolen car?",multiple-choice,"Yes, because he agreed to rebuild the engine, knowing the car was stolen.","Yes, because of the proﬁt he agreed to receive on the sale of the car.","No, because Ed was the person who was going to sell the car.","No, because Pete’s rebuilding of the engine was not per se illegal.",,,2,,Crime
"31. Questions 31-32 are based on the following fact situation.

Paul was nine years old and a third-grade student in school. While playing in the school yard during the recess period, Paul became involved in a tight with David, ten years old and a student in the fourth grade. David kicked Paul in the leg during the fight and, as a result of the kick, Paul suffered a fracture of a bone in the leg.

Paul, through an appropriate legal representative, has asserted claims for damages against David and against the school district.

Will Paul prevail on his claim against David?
",multiple-choice,"Yes, because David kicked Paul.","Yes, if David started the fight.","No, unless David used excessive force.","No, if Paul’s bones were unusually brittle.",,,3,,Torts
"32. Questions 31-32 are based on the following fact situation.

Paul was nine years old and a third-grade student in school. While playing in the school yard during the recess period, Paul became involved in a tight with David, ten years old and a student in the fourth grade. David kicked Paul in the leg during the fight and, as a result of the kick, Paul suffered a fracture of a bone in the leg.

Paul, through an appropriate legal representative, has asserted claims for damages against David and against the school district.

Will Paul prevail on his claim against the school district?",multiple-choice,"Yes, because the ﬁght took place on school premises.","Yes, because the fight took place during the recess period.","No, if Paul was the person who actually started the fight.","No, unless the school failed to use reasonable care in supervising the school premises.",,,4,,Torts
"33. Questions 33-34 are based on the following fact situation.

Actor, a well-known film star, was photographed by a freelance photographer, while sitting at a sidewalk cafe, drinking beer and with a bottle of Foamus Light Beer on the table in front of him. The picture was reproduced in Magazine, a publication containing stories and articles about the film industry, in connection with a story about the eating and drinking tastes. of film stars. The label on the beer bottle was clearly visible in the picture.

The following month, advertisements for Foamus Light Beer appeared in other publications and carried a reproduction of the page from Magazine on which Actor’s picture appeared, with the heading ”Drink the beer that movie stars mink.”

If Actor asserts a claim against Magazine, will Actor prevail?",multiple-choice,"Yes, if Actor had not authorized any use of the picture.","Yes, because Magazine was using Actor’s picture for its commercial purposes.","No, because Actor’s picture was taken in a public place.","No, if Actor’s career was advanced by the publicity.",,,3,,Torts
"34. Questions 33-34 are based on the following fact situation.

Actor, a well-known film star, was photographed by a freelance photographer, while sitting at a sidewalk cafe, drinking beer and with a bottle of Foamus Light Beer on the table in front of him. The picture was reproduced in Magazine, a publication containing stories and articles about the film industry, in connection with a story about the eating and drinking tastes. of film stars. The label on the beer bottle was clearly visible in the picture.

The following month, advertisements for Foamus Light Beer appeared in other publications and carried a reproduction of the page from Magazine on which Actor’s picture appeared, with the heading ”Drink the beer that movie stars mink.”

If Actor asserts a claim against Foamus Light Beer based on the advertisements in the other publications, will Actor prevail?",multiple-choice,"Yes, if Actor had-not consented to having his picture taken.","Yes, if Actor had not consented to Foamus Light Beer using Actor's picture for commercial purposes.","No, because Actor's picture had already appeared in Magazine.","No, if Actor was already a public figure.",,,2,,Torts
"35. Yes loaned Dan her car when Dan told Yes that he needed the car in order to get some groceries. In fact Dan intended to drive 100 miles to apply for a job in City and return the same day. However, when Dan reached City and obtained a job he decided to remain in City permanently. Dan did not inform Vee of where he was and he did not return to car to Vee.

Did Dan commit larceny?",multiple-choice,"Yes, because Dan did not return the car to Vee.","Yes, because Dan unlawfully converted property to which he had lawfully obtained possession.","No, because there was no concurrence of actus reus and mens rea.","No, because Vee voluntarily loaned Dan her car.",,,1,,Crime
"36. Questions 36-40 are based on the following fact situation.

Anna, the owner of a nightclub, booked Sam, a famous entertainer, for the week beginning Sunday, July 1. On June 20 Sam was stricken by appendicitis and according to his surgeon would not be able to perform until August 1. Dn June 21, Anna sent the following telegrams to Ella and to two other performers. The contents of all three telegrams were identical.

“Sam ill and unable to perform during the July 1 week. Desperately need replacement act. You must arrive no later than June 29 to give the band time to rehearse with you. Money no object as all performances already sold out. /s/ Anna.""

Assume that Ella received her wire on June 22 and immediately wired back: “On my way. Hope I get a better room than you provided last time. /s/ Ella."" After Ella sent her wire, but before Anna received it, Anna learned from Sam's surgeon that Sam had recovered and could perform July 1. Anna immediately telephone Ella and said that Ella was not needed because Sam had recovered.

If Ella asserts a claim against Anna and Anna defends on the ground that there was no effective acceptance of her offer, who will prevail?
",multiple-choice,"Ella, because her acceptance was dispatched prior to Anna’s revocation of her offer.","Ella, because Anna’s revocation was not communicated in the same form as Anna's offer.","Anna, because Ella’s response failed to specify any salary.","Anna, because Ella's response, added a term to the offer, which Anna was free to reject.",,,1,,Contracts
