Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"While waiting in line to open an account with a bank, a customer read a poster on the bank's wall that said, ""New Customers! $25 FOR 5 MINUTES. If you stand in line for more than five minutes, we will pay you $25! We like happy customers!"" The customer started timing his wait and just as five minutes was about to pass, the bank manager tore the poster down and announced, ""The $25 stand-in-line promotion is over."" The customer waited in line for 10 more minutes before being served. 

Does the customer have a claim against the bank for $25?",multiple-choice,"No, because the bank withdrew its offer before the customer completed the requested performance.","No, because the bank's statement was a nonbinding gift promise.","Yes, because the bank could not revoke its offer once the customer had commenced performance.","Yes, because the customer's presence in line served as notice to the bank that he had accepted.",,,3,"Answer C is correct. The Restatement (Second) of Contracts § 45 provides that where an offer invites acceptance by performance, the offeree’s beginning of performance creates an option contract which precludes the offeror from revoking its offer. Because the customer had begun his wait before the poster was taken down and because he ended up standing in line for more than five minutes, the bank should be liable for the $25.

Answer A is incorrect. The Restatement (Second) of Contracts § 45 prevents an offeror from withdrawing its offer for a unilateral contract once the offeree has begun to perform. Once the customer was in line, the bank could no longer withdraw the offer, and therefore the bank should be liable for the $25.

Answer B is incorrect. The consideration required for an enforceable contract is present. The bank's promise to pay the customer $25 and the customer's standing in line constituted a bargained-for exchange.

Answer D is incorrect. The customer's mere presence in line constituted the beginning of performance but not the requested acceptance—standing in line for more than five minutes, which he eventually did. Because the customer had begun his wait before the poster was taken down and because he ended up standing in line for more than five minutes, the bank should be liable for the $25.","Formation of Contracts"
"A radio manufacturer and a retailer, after extensive negotiations, entered into a final written agreement in which the manufacturer agreed to sell and the retailer agreed to buy all of its requirements of radios, estimated at 20 units per month, during the period January 1, 1988, and December 31, 1990, at a price of $50 per unit. A dispute arose in December, 1990, when the retailer returned 25 undefective radios to the manufacturer for full credit after the manufacturer had refused to extend the contract for a second three-year period.

In an action by the manufacturer against the retailer for damages due to return of the 25 radios, the manufacturer introduces the written agreement, which expressly permitted the buyer to return defective radios for credit but was silent as to the return of undefective radios for credit. The retailer seeks to introduce evidence that during the three years of the agreement it had returned, for various reasons, 125 undefective radios, for which the manufacturer had granted full credit. The manufacturer objects to the admissibility of this evidence.

The trial court will probably rule that the evidence proffered by the retailer is",multiple-choice,"inadmissible, because the evidence is barred by the parol evidence rule.","inadmissible, because the express terms of the agreement control when those terms are inconsistent with the course of performance.","admissible, because the evidence supports an agreement that is not within the relevant statute of frauds.","admissible, because course-of-performance evidence, when available, is considered the best indication of what the parties intended the writing to mean.",,,4,"D is correct. The parol evidence rule bars the introduction of extrinsic evidence of certain statements made prior to the adoption of a final written agreement. Evidence of course-of-performance, however, is admissible to interpret a writing so long as the evidence can reasonably be construed in a way that is consistent with the writing. Because the written agreement between the manufacturer and the retailer is silent on the issue of returning undefective radios for credit, evidence of the parties' performance during the first three years of the agreement on this issue is admissible to interpret the writing.

A is incorrect. The parol evidence rule does not bar the admission of course-of-performance evidence. B is incorrect. The express terms of the contract are silent on the issue of returning undefective radios. C is incorrect. The statute of frauds is not relevant to the issue of contract interpretation.","Contract Content and Meaning"
"A businesswoman sold her business to a company for $25 million in cash pursuant to a written contract that was signed by both parties. Under the contract, the company agreed to employ the businesswoman for two years as a vice president at a salary of $150,000 per year. After six months, the company, without cause, fired the businesswoman.

Which of the following statements best describes the businesswoman's rights after being fired?",multiple-choice,"She can recover the promised salary for the remainder of the two years if she remains ready to work.","She can recover the promised salary for the remainder of the two years if no comparable job is reasonably available and she does not take another job.","She can rescind the contract of sale and get back her business upon tender to the company of $25 million.","She can get specific performance of her right to serve as a vice president of the company for two years.",,,2,"A is incorrect. The company's unjustified termination of the businesswoman's employment constituted a breach of contract entitling the businesswoman to recover monetary damages. However, a wrongfully discharged employee is expected to mitigate damages by making reasonable efforts to seek comparable employment. In this case, to avoid a reduction in her damages, the businesswoman is required to do more than remain ready to work. Her recovery will be reduced by the compensation she earned or could have earned if she had made reasonable efforts to secure comparable employment. 

B is correct. The company's unjustified termination of the businesswoman's employment constituted a breach of contract entitling the businesswoman to recover monetary damages. A wrongfully discharged employee is expected to mitigate damages by making reasonable efforts to seek comparable employment. However, if no comparable employment is reasonably available and the businesswoman does not take another job, the businesswoman is entitled to recover the promised salary for the remainder of the two years. 

C is incorrect. The company's unjustified termination of the businesswoman's employment was probably not a material breach of contract. It represented only a small part of a large contract and can easily be remedied by an award of damages. But even if the breach was material, a court would likely employ the concept of divisibility to preclude the businesswoman from rescinding the contract of sale. As stated in Restatement (Second) of Contracts § 240, a contract is divisible where ""the performances to be exchanged under an exchange of promises can be apportioned into corresponding pairs of part performances so that the parts of each pair are properly regarded as agreed equivalents."" Here, the agreed equivalents would be the sale of the business and the corresponding $25 million purchase price, and the businesswoman's promise to work for the company and the corresponding yearly salary of $150,000. Applying this concept, the businesswoman would be able to recover damages for the company's breach of its promise to employ her, but she would not be permitted to rescind the contract of sale. 

D is incorrect. The company's unjustified termination of the businesswoman's employment constituted a breach of contract entitling the businesswoman to recover monetary damages. The general rule is that employers cannot obtain specific performance requiring an employee who has breached a personal services contract to work for the employer. It is also true generally that courts refuse to grant specific performance of an employment contract against a breaching employer. Consequently, the businesswoman's recovery will consist of the unpaid salary under the contract, reduced by the compensation she earned or could have earned if she had made reasonable efforts to secure comparable employment.",Remedies
"In a telephone conversation, a jewelry maker offered to buy 100 ounces of gold from a precious metals company if delivery could be made within 10 days. The jewelry maker did not specify a price, but the market price for 100 ounces of gold at the time of the conversation was approximately $65,000. Without otherwise responding, the company delivered the gold six days later. 

In the meantime, the project for which the jewelry maker planned to use the gold was canceled. The jewelry maker therefore refused to accept delivery of the gold or to pay the $65,000 demanded by the company. 

Is there an enforceable contract between the jewelry maker and the company?",multiple-choice,"No, because the parties did not agree on a price term.","No, because the parties did not put their agreement in writing.","Yes, because the absence of a price term does not defeat the formation of a valid contract for the sale of goods where the parties otherwise intended to form a contract.","Yes, because the company relied on an implied promise to pay when it delivered the gold.",,,2,"A is incorrect. Under UCC § 2-305, a contract may be enforceable in the absence of a price term so long as the parties otherwise intended to enter into a contract. In this case, the dispositive issue is whether the parties' oral agreement is enforceable. Under UCC § 2-201(1), a contract for the sale of goods for a price of $500 or more is not enforceable unless there is a writing indicating the contract that is signed by the party against whom enforcement is sought. In this case, the absence of such a writing signed by the jewelry maker renders the parties' oral agreement unenforceable. An exception to the writing requirement arises when a seller delivers goods that are accepted by the buyer, but in this case, the jewelry maker did not accept the gold. 

B is correct. The parties failed to comply with the writing requirement of UCC § 2-201(1). Under that section, a contract for the sale of goods for a price of $500 or more is not enforceable unless there is a writing indicating a contract of sale that is signed by the party against whom enforcement is sought. In this case, the absence of such a writing signed by the jewelry maker renders the parties' oral agreement unenforceable. An exception to the writing requirement arises when a seller delivers goods that are accepted by the buyer, but in this case, the jewelry maker did not accept the gold. 

C is incorrect. Under UCC § 2-305, a contract may be enforceable in the absence of a price term so long as the parties otherwise intended to enter into a contract. In this case, however, the dispositive issue is whether the parties' oral agreement is enforceable. Under UCC § 2-201(1), a contract for the sale of goods for a price of $500 or more is not enforceable unless there is a writing indicating the contract that is signed by the party against whom enforcement is sought. The absence of such a writing signed by the jewelry maker renders the parties' oral agreement unenforceable. An exception to the writing requirement arises when a seller delivers goods that are accepted by the buyer. In this case, however, the jewelry maker did not accept the gold. 

D is incorrect. The dispositive issue in this case is whether the parties' oral agreement is enforceable. Under UCC § 2-201(1), a contract for the sale of goods for a price of $500 or more is not enforceable unless there is a writing indicating the contract that is signed by the party against whom enforcement is sought. The absence of such a writing signed by the jewelry maker renders the parties' oral agreement unenforceable. An exception to the writing requirement arises when a seller delivers goods that are accepted by the buyer. In this case, however, the jewelry maker did not accept the gold.","Defenses to Enforceability"
"A flour wholesaler contracted to deliver to a producer of fine baked goods her flour requirements for a one-year period. Before delivery of the first scheduled installment, the flour wholesaler sold its business and ""assigned"" all of its sale contracts to a miller, another reputable and long-time flour wholesaler. The original flour wholesaler informed the baked goods producer of this transaction.

Assume that the baked goods producer accepted the miller's delivery of the first installment as set out in the original contract between the flour wholesaler and the baked goods producer. However, the baked goods producer paid the contract price for that installment to the flour wholesaler and refused to pay anything to the miller.

In an action by the miller against the baked goods producer for the contractual amount of the first installment, who will most likely prevail?",multiple-choice,"The baked goods producer, because she had not expressly agreed to accept the miller as her flour supplier.","The baked goods producer, because the payment of the contractual installment to the flour wholesaler discharged her obligation.","The miller, because he is a third-party beneficiary with vested rights.","The miller, because the flour wholesaler validly assigned his rights and delegated his duties under the original contract to the miller.",,,4,"Answer D is correct. The flour wholesaler validly assigned his rights and delegated his duties from the original contract to the miller. This contract concerns a sale of goods, and is therefore governed by the UCC. Under the UCC, a party may perform his duty through a delegatee unless the other party has a substantial interest in having the original party perform the contract. Because the miller is comparable to the flour wholesaler in terms of reputation and experience, the baked goods producer should not have a particular interest in having the flour wholesaler perform the contract.

A is incorrect. Performance of the contract by the delegatee ordinarily does not require the assent of the other party to the contract. When the flour wholesaler sold its business and assigned its contracts of sale to the miller, the baked goods producer's agreement to the delegation was not necessary.

B is incorrect because, once the other party to the contract (the baked goods producer) has received notice of an assignment of rights, she can discharge her obligation only upon payment to the assignee (the miller). Payment to the assignor will not discharge the obligation.

C is incorrect. The miller is not a third-party beneficiary. A third-party beneficiary situation arises when two parties enter into a contract that provides that one of the parties will render performance to benefit a third party outside of the contract. The parties to the contract must have had the intent to benefit a third party. In this case, when the contract was formed, there was no intent to benefit the miller or any other third party.","Third-Party Rights"
"A bakery offered a chef a permanent full-time job as a pastry chef at a salary of $3,000 per month. The chef agreed to take the position and to begin work in two weeks. In her employment application, the chef had indicated that she was seeking a permanent job. One week after the chef was hired by the bakery, a hotel offered the chef a position as a restaurant manager at a salary of $3,500 a month. The chef accepted and promptly notified the bakery that she would not report for work at the bakery.

Is the bakery likely to prevail in a lawsuit against the chef for breach of contract?",multiple-choice,"No, because a contract for permanent employment would be interpreted to mean the chef could leave at any time.","No, because the position the chef took with the hotel was not substantially comparable to the one she had agreed to take with the bakery.","Yes, because the chef's acceptance of a permanent position meant that she agreed to leave the bakery only after a reasonable time.","Yes, because the chef's failure to give the bakery a chance to match the salary offered by the hotel breached the implied right of first refusal.",,,1,"Answer A is correct. The issue here is the interpretation of the term ""permanent employment"" in the bakery-chef contract. It is well established that ""permanent employment"" means ""employment-at-will"" in this context. In an employment-at-will relationship, either party can terminate the agreement at any time, without the termination being considered a breach (unless the termination were to violate an important public policy — which is not the case here). Accordingly, the chef is not liable for breach of contract.

Answer B is incorrect. This answer correctly concludes that the bakery will not prevail in a breach of contract action against the chef, but it misstates the reason why this is so. The question whether the job the baker took with the hotel was comparable to the one she left at the bakery is not relevant here. The comparability issue DOES arise in cases in which an employee who has been terminated is offered another job; in such cases the employee's claim for breach would be reduced by wages which could have been earned at jobs which are not different and inferior. That is not the case in this problem.

Answer C is incorrect because it is grounded in an incorrect interpretation of the meaning of the word ""permanent"" in the context of employment agreements, as explained above.

Answer D is incorrect. This answer is incorrect because it presumes the existence of an ""implied right of first refusal."" While some contracts do create rights of first refusal, such rights must be created by express agreement, and not by implication. In the context of employment agreements, it is well established that ""permanent employment"" means ""employment-at-will."" In an employment-at-will relationship, either party can terminate the agreement at any time, without the termination being considered a breach (unless the termination were to violate an important public policy — which is not the case here). Accordingly, the chef is not liable for breach of contract.","Formation of Contracts"
"A corporation, through its president, requested from a financing company a short-term loan of $100,000. On April 1, the corporation's president and the financing company's loan officer agreed orally that the financing company would make the loan on the following terms: (1) The loan would be repaid in full on or before the following July 1 and would carry interest at an annual rate of 15 percent (a lawful rate under the applicable usury law); and (2) the corporation's president would personally guarantee repayment. The loan was approved and made on April 5. The only document evidencing the loan was a memorandum, written and supplied by the financing company and signed by the president for the corporation, that read in its entirety:
""April 5

In consideration of a loan advanced on this date, the corporation hereby promises to pay the financing company, $100,000 on September 1.

The corporation

By /s/ the president""
The corporation did not repay the loan on or before July 1, although it had sufficient funds to do so. On July 10, the financing company sued the corporation as principal debtor and the corporation's president individually as guarantor for $100,000, plus 15 percent interest from April 5.

At the trial, can the financing company prove the corporation's oral commitment to repay the loan on or before July 1?",multiple-choice,"Yes, because the oral agreement was supported by an independent consideration.","Yes, because the evidence of the parties' negotiations is relevant to their contractual intent concerning maturity of the debt.","No, because such evidence is barred by the preexisting duty rule.","No, because such evidence contradicts the writing and is barred by the parol evidence rule.",,,4,"D is correct. The parol evidence rule bars extrinsic evidence of a prior agreement either where the prior agreement contradicts the terms of a final written agreement or where the prior agreement purports to add to a completely integrated agreement (i.e., one that is intended by the parties to be both the final and exclusive manifestation of the parties' understanding). The oral commitment that the financing company seeks to introduce (that the loan would be repaid ""on or before July 1"") contradicts the final writing executed between the parties (stating that the corporation promises to repay the loan ""on September 1""). Therefore, it is barred by the parol evidence rule.

A is incorrect. The collateral agreement exception to the parol evidence rule would not apply where the extrinsic evidence is in direct conflict with the writing. B is incorrect. Evidence of the parties' negotiations is precisely the type of evidence that the parol evidence rule excludes. C is incorrect. The promise is inadmissible under the parol evidence rule regardless of whether it was supported by consideration.","Contract Content and Meaning"
"A debtor owed a lender $1,500. The statute of limitations barred recovery on the claim. The debtor wrote to the lender, stating, ""I promise to pay you $500 if you will extinguish the debt."" The lender agreed.

Is the debtor's promise to pay the lender $500 enforceable?",multiple-choice,"No, because the debtor made no promise not to plead the statute of limitations as a defense.","No, because there was no consideration for the debtor's promise.","Yes, because the debtor's promise provided a benefit to the lender.","Yes, because the debtor's promise to pay part of the barred antecedent debt is enforceable.",,,4,"Answer D is correct. A promise to pay a debt after the running of the statute of limitations, like the promise in this case, is enforceable without consideration. The enforcement of such a promise is a long-established exception to the requirement that there be consideration to support the enforcement of promises. Thus, Answer D is correct, and Answer B is incorrect.

Answer A is incorrect. This is not the best answer because it is not really responsive to the question. The debtor had a statute-of-limitations defense which was partially destroyed by the promise to pay $500. The debtor DID promise to pay $500, which implies that the payment would be made and that, at least as to that $500, there would be no reliance on the statute of limitations.

Answer C is incorrect. This answer is incorrect because it is not really responsive to the question. Promises are not enforceable merely because their performance would benefit the promisee. This is obvious if one remembers that a promise to make a gift is not enforceable even though the promise, if performed, would benefit the donee.","Formation of Contracts"
"Two salesmen, who lived in different suburbs twenty miles apart, were golfing acquaintances at the Interurban Country Club. Both were traveling salesmen--one for a pharmaceutical company and the other for a widget manufacturer. The pharmaceutical salesman wrote the widget salesman by United States mail on Friday, October 8:

I need a motorcycle for transportation to the country club and will buy your Sujocki for $1,200 upon your bringing it to my home address above [stated in the letterhead] on or before noon, November 12 next. This offer is not subject to countermand.

Sincerely,

[signed] the pharmaceutical salesman

The widget salesman replied by mail the following day:

I accept your offer, and promise to deliver the bike as you specified.

Sincerely,

[signed] the widget salesman

This letter, although properly addressed, was misdirected by the postal service and not received by the pharmaceutical salesman until November 10. The pharmaceutical salesman had bought another Sujocki bike from a different friend for $1,050 a few hours before.

The friend saw the widget salesman at the Interurban Country Club on November 11 and said: ""I sold my Sujocki to the pharmaceutical salesman yesterday for $1,050. Would you consider selling me yours for $950?"" The widget salesman replied: ""I'll let you know in a few days.""

On November 12, the widget salesman took his Sujocki to the pharmaceutical salesman's residence; he arrived at 11:15 a.m. The pharmaceutical salesman was asleep and did not answer the ringing doorbell until 12:15 p.m. The pharmaceutical salesman then rejected the widget salesman's bike on the ground that he had already bought someone else's bike.

In a lawsuit by the widget salesman against the pharmaceutical salesman for breach of contract, what would the court probably decide regarding the widget salesman's letter of October 9?",multiple-choice,"The letter bound both parties to a unilateral contract as soon as the widget salesman mailed it.","Mailing of the letter by the widget salesman did not, of itself, prevent a subsequent, effective revocation by the pharmaceutical salesman of his offer.","The letter bound both parties to a bilateral contract, but only when received by the pharmaceutical salesman on November 10.","Regardless of whether the pharmaceutical salesman's offer had proposed a unilateral or a bilateral contract, the letter was an effective acceptance upon receipt, if not upon dispatch.",,,2,"Answer B is correct. The widget salesman's letter was not an appropriate method of acceptance because the pharmaceutical salesman's letter offer requested performance; thus, the mail box rule would not apply to make the acceptance effective upon dispatch, and the pharmaceutical salesman's offer remained freely revocable. A is incorrect because the letter could not be reasonably construed as the beginning of performance. C is incorrect because the offer called for a unilateral acceptance. D is also incorrect because the offer did not invite the widget salesman to choose between acceptance by promise and acceptance by performance.","Formation of Contracts"
"A famous chef entered into a written agreement with his neighbor, a well-known interior decorator respected for his unique designs, in which the decorator agreed, for a fixed fee, to design the interior of the chef's new restaurant, and, upon the chef's approval of the design plan, to decorate and furnish the restaurant accordingly. The agreement was silent as to assignment or delegation by either party. Before beginning the work, the decorator sold his decorating business to his friend under an agreement in which the decorator assigned to the friend, and the friend agreed to complete, the chef-decorator contract. The friend, also an experienced decorator of excellent repute, advised the chef of the assignment, and supplied him with information confirming both the friend's financial responsibility and past commercial success. 

If the chef allows the friend to perform and approves his design plan, but the friend fails without legal excuse to complete the decorating as agreed, against whom does the chef have an enforceable claim for breach of contract?",multiple-choice,"The decorator only, because the decorator's agreement with the friend did not discharge his duty to the chef, and the friend made no express promise to the chef.","Only the friend, because the decorator's duty to the chef was discharged when the decorator obtained a skilled decorator (the friend) to perform the chef-decorator contract.","Only the friend, because the chef was an intended beneficiary of the decorator-friend agreement, and the decorator's duty to the chef was discharged when the chef permitted the friend to do the work and approved the friend's designs.","Either the decorator, because his agreement with the friend did not discharge his duty to the chef, or the friend, because the chef was an intended beneficiary of the decorator-friend agreement.",,,4,"Answer D is correct. Unless the other party to the contract (the obligee, or the chef) agrees otherwise (e.g., by executing a novation substituting the new obligor and releasing the original obligor of its duty), delegation of a contractual duty does not discharge the obligation of the delegating obligor (the decorator). Therefore, where a duty has been delegated (in this case, the duty to design the interior of the chef's new restaurant) and the delegatee (The friend) breaches the duty, the chef may enforce the contract either against the original obligor (the decorator), or against the delegatee (The friend). The chef may enforce The friend's promise because he is the intended beneficiary of the decorator-The friend contract (under which The friend undertook to design the interior of the chef's new restaurant).

A is incorrect because the chef is an intended beneficiary of the decorator-The friend agreement (in other words, allowing the chef standing to enforce the contract would be appropriate to effectuate the parties' understanding, since The friend must have understood that the decorator's intent was to confer a benefit on the chef). B and C are incorrect because delegation will not discharge the obligor's original duty (unless the parties execute a novation).","Third-Party Rights"
"A chef purchased the front portion of the land needed for a restaurant he desired to build and operate, but the back portion was the subject of a will dispute between a sister and brother. The sister's attorney advised that her claim was doubtful. The chef, knowing only that the unresolved dispute existed, agreed in a signed writing to pay the sister $6,000, payable $1,000 annually, in exchange for a quitclaim deed (a deed containing no warranties) from the sister, who promptly executed such a deed to the chef and received the chef's first annual payment. Shortly thereafter, the probate court handed down a decision in the brother's favor, ruling that the sister had no interest in the land. This decision has become final. The chef subsequently defaulted when his second annual installment came due.

In an action against the chef for breach of contract, the sister will probably",multiple-choice,"lose, because she was aware at the time of the agreement with the chef that her claim to the property quitclaimed was doubtful.","lose, because she suffered no legal detriment in executing the quitclaim deed.","win, because the chef bargained for, and received in exchange, a quitclaim deed from the sister.","win, because the chef, by paying the first $1,000 installment, is estopped to deny that his agreement with the sister is an enforceable contract.",,,3,"Answer C is correct. In order to be enforceable, a promise must be supported by consideration. Consideration is a return promise or performance which is bargained-for, i.e., sought by the promisor in exchange for the promise and given by the promisee in exchange for the promise. Courts at law do not inquire into the adequacy of consideration as long as the consideration was bargained-for; it is often said that ""even a peppercorn will suffice"" for consideration. In exchange for the chef's promise to pay the sister $6,000, the sister agreed to convey (and promptly conveyed) to the chef a quitclaim deed for a piece of property. Although the sister was aware that her claim to the property was doubtful, and although the deed contained no warranty of title, her promise to convey the quitclaim deed was sufficient consideration to support the chef's promise.

Choice A is incorrect because what matters for finding consideration is the existence of an exchange, even if the values exchanged are unequal (the answer would be different if, instead of giving the quitclaim deed, the sister had promised to forbear from bringing a claim that she knew was doubtful). B is incorrect because the legal test for consideration focuses on the existence of a bargain rather than legal detriment. D is incorrect because the chef paid the first $1,000 before he became aware of the true value of the quitclaim deed.","Formation of Contracts"
"The mother of a son and a daughter was dying. The daughter visited her mother in a hospice facility and said, ""You know that I have always been the good child, and my brother has always been the bad child. Even so, you have left your property in the will to us fifty-fifty. But it would be really nice if you would sell me the family home for $100,000."" 

""I don't know,"" said the mother. ""It is worth a lot more than that-at least $250,000."" 

""That is true,"" said the daughter. ""But I have always been good and visited you, and my brother has never visited you, so that ought to be worth something. And besides, if you won't sell me the house for that price, maybe I won' t visit you anymore, either."" 

""Oh, I wouldn't want that,"" said the mother, and she signed a contract selling the house to her daughter for $100,000. 

Shortly thereafter, the mother died. When her son found out that the house had been sold and was not part of his mother's estate, he sued to have the contract avoided on behalf of the mother. 

On what ground would the contract most likely be avoided?",multiple-choice,Duress.,"Inadequate consideration.",Mistake.,"Undue influence.",,,4,"Answer D is correct. A contract is voidable if the elements of undue influence--undue susceptibility to pressure and excessive pressure--are established. The undue susceptibility element can be established either by the circumstances (e.g., the mother's illness) or the existence of a confidential relationship (such as a parent-child relationship). The following facts support a finding of excessive pressure: the daughter's statement that she might not visit her mother, the daughter pressuring her mother to sell the property while her mother was in a hospice facility, the mother assenting without obtaining independent advice, and the mother's susceptibility to pressure.

Answer A is incorrect. A contract can be avoided on the basis of duress. However, the facts fail to establish the elements of duress. Duress requires an improper threat. The daughter's statement that she might not visit her mother does not constitute an improper threat sufficient to support avoidance based on duress.

Answer B is incorrect. If a bargained-for exchange is present, there is no additional requirement, such as an equivalency of exchange, to satisfy the consideration requirement of an enforceable contract. Moreover, the imbalance in the exchange between the mother and her daughter does not constitute the gross inadequacy of exchange that so shocks the conscience as to warrant invalidating the agreement.

Answer C is incorrect. The mistake doctrine supports avoidance of a contract. An essential element of the mistake doctrine is a mistake, which is defined as a ""belief that is not in accord with the facts."" The facts in this case fail to establish a legally cognizable mistake.","Defenses to Enforceability"
"A seller and a buyer entered into a contract obligating the seller to convey title to a parcel of land to the buyer for $100,000. The agreement provided that the buyer's obligation to purchase the parcel was expressly conditioned upon the buyer's obtaining a loan at an interest rate no higher than 10%. The buyer was unable to do so, but did obtain a loan at an interest rate of 10.5% and timely tendered the purchase price. Because the value of the land had increased since the time of contracting, the seller refused to perform. The buyer sued the seller.

Will the buyer prevail?",multiple-choice,"No, because an express condition will be excused only to avoid forfeiture.","No, because the contract called for a loan at an interest rate not to exceed 10% and it could not be modified without the consent of the seller.","Yes, because the buyer detrimentally changed position in reliance on the seller's promise to convey.","Yes, because the buyer's obtaining a loan at an interest rate no higher than 10% was not a condition to the seller's duty to perform.",,,4,"Answer D is correct. Courts look beyond the words of a condition, and if it is clear that the intent of the condition was to benefit or protect one of the parties, the language of the condition will be interpreted as if that intent had been clearly expressed in the contract terms. In this case, it is clear that the condition was intended for the benefit of the buyer as a condition to the buyer’s duty. The buyer’s waiver of the condition required the seller to perform despite the nonoccurrence of the condition.

A is incorrect. This statement of the law is much too broad to be true. Courts look beyond the words of a condition, and if it is clear that the purpose of the condition was to benefit or protect one of the parties, the language of the condition will be interpreted as if that intention had been embodied in the contract terms. In this case it is clear that the language of the condition was intended for the benefit of the buyer, and so the seller's duty was not subject to the condition.

B is incorrect. The issue in this dispute does not concern modification of the contract. The parties did nothing which could be interpreted as an attempt to modify the agreement. The issue is whether the seller’s duty was conditional. Courts look beyond the words of a condition, and if it is clear that the intent of the condition was to benefit or protect one of the parties, the language of the condition will be interpreted as if that intent had been clearly expressed in the contract terms. In this case it is clear that the condition was intended for the benefit of the buyer as a condition to the buyer’s duty. The buyer’s waiver of the condition required the seller to perform despite the nonoccurrence of the condition.

C is incorrect. While it is true that the buyer changed position because of the seller’s promise, that fact is not relevant to the question of whether the seller’s duty to perform was subject to a condition. Courts look beyond the words of a condition, and if it is clear that the intent of the condition was to benefit or protect one of the parties, the language of the condition will be interpreted as if that intent had been clearly expressed in the contract terms. In this case, it is clear that the condition was intended for the benefit of the buyer as a condition to the buyer’s duty. The buyer’s waiver of the condition required the seller to perform despite the nonoccurrence of the condition.","Performance, Breach, and Discharge"
"On March 31, a seller and a buyer entered into a written agreement in which the seller agreed to fabricate and sell to the buyer 10,000 specially designed brake linings for a new type of power brake manufactured by the buyer. The contract provided that the buyer would pay half of the purchase price on May 15 in order to give the seller funds to ""tool up"" for the work; that the seller would deliver 5,000 brake linings on May 31; that the buyer would pay the balance of the purchase price on June 15; and that the seller would deliver the balance of the brake linings on June 30.

On May 10, the seller notified the buyer that it was doubtful whether the seller could perform because of problems encountered in modifying its production machines to produce the brake linings. On May 15, however, the seller assured the buyer that the production difficulties had been overcome, and the buyer paid the seller the first 50 percent installment of the purchase price. The seller did not deliver the first 5,000 brake linings on May 31, or at any time thereafter; and on June 10, the seller notified that it would not perform the contract.

Which of the following is NOT a correct statement of the parties' legal status immediately after the seller's notice on June 10?",multiple-choice,"The buyer has a cause of action for total breach of contract because of the seller's repudiation, but that cause of action will be lost if the seller retracts its repudiation before the buyer changes its position or manifests to the seller that the buyer considers the repudiation final.","The buyer can bring suit to rescind the contract even if it elects to await the seller's performance for a commercially reasonable time.","The buyer can await performance by the seller for a commercially reasonable time, but if the buyer awaits performance beyond that period, it cannot recover any resulting damages that it reasonably could have avoided.","The buyer has a cause of action for breach of contract that it can successfully assert only after it has given the seller a commercially reasonable time to perform.",,,4,"D is correct. Under the UCC, when either party repudiates a contract for the sale of goods with respect to a performance whose loss will substantially affect the value of the contract, the non-repudiating party may await performance for a commercially reasonable time or immediately resort to remedies for breach of contract. The non-repudiating party, however, may not recover damages that he might have mitigated with reasonable effort. The repudiating party is still free to retract its repudiation unless the non-repudiating party has relied on it or otherwise indicated that he considers the repudiation final. The seller's June 10 statement that it would not perform the contract, when read in light of its earlier communications and failure to make a delivery when due, amounts to a repudiation that gives the buyer the right to bring immediate action for breach. Therefore, D is the correct answer choice because the buyer does not need to give the seller a commercially reasonable time to perform. A, B, and C are incorrect. Each of these statements are accurate.","Performance, Breach, and Discharge"
"An expert in lifting and emplacing equipment atop tall buildings, contracted in a signed writing to lift and emplace certain air-conditioning equipment atop a builder's building. An exculpatory clause in the contract provided that the expert would not be liable for any physical damage to the builder's building occurring during installation of the air-conditioning equipment. There was also a clause providing for per diem damages if the expert did not complete performance by a specified date and a clause providing that ""time is of the essence."" Another clause provided that any subsequent agreement for extra work under the contract must be in writing and signed by both parties.

With ample time remaining under the contract for commencement and completion of his performance, the expert notified the builder that he was selling his business to a man who was equally expert in lifting and emplacing equipment atop tall buildings, and that the man had agreed to ""take over the expert-builder contract.""

Assume that the builder orally agreed with the expert to accept the man's services and that the man performed on time but negligently installed the wrong air-conditioning equipment.

Will the builder succeed in an action against the expert for damages for breach of contract?",multiple-choice,"Yes, because the builder did not agree to release the expert from liability under the expert-builder contract.","Yes, because the builder received no consideration for the substitution of the man for the expert.","No, because by accepting the substitution of the man for the expert, the builder effected a novation, and the expert was thereby discharged of his duties under the expert-builder contract.","No, because the liquidated-damage clause in the expert-builder contract provided only for damages caused by delay in performance.",,,1,"Answer A is correct. Unless the other party to the contract (the obligee) agrees otherwise (e.g., by executing a novation substituting the new obligor and releasing the original obligor of its duty), delegation of a contractual duty does not discharge the obligation of the delegating obligor. Although the builder orally agreed to accept the delegation of the expert's duties to the man, that agreement did not effect a novation, or a release of the expert's obligation under the contract.

B is incorrect because a delegation does not require consideration to be effective. C is incorrect because an acceptance of delegation is not the same as a novation. D is incorrect because a liquidated damages provision for delay does not preclude recovery of other types of damages resulting from a breach.","Third-Party Rights"
